ReEDS region,Marginal Generation Price (in 2014$/MWh),Source_Marginal Generation Price ,Escalation factor (EIA Reference case)
266,38.42959903,MMC (lambda),0.98
267,38.24145871,MMC (lambda),0.98
268,32.55500401,MMC (lambda),0.98
269,32.55500401,MMC (lambda),1.03
270,32.55500401,MMC (lambda),1.03
271,32.55500401,MMC (lambda),1.03
272,27.13989599,MMC (lambda),0.98
273,32.55500401,MMC (lambda),0.98
274,38.42959903,MMC (lambda),0.98
275,37.83416092,MMC (lambda),0.98
276,27.13989599,MMC (lambda),1.01
277,27.13989599,MMC (lambda),1.01
278,27.13989599,MMC (lambda),1.01
279,36.72367138,MMC (lambda),1.01
280,27.13989599,MMC (lambda),1.01
281,27.13989599,MMC (lambda),1.01
282,27.13989599,MMC (lambda),1.01
283,27.13989599,MMC (lambda),1.01
284,27.13989599,MMC (lambda),1.01
285,40.26062406,LMP,1.01
286,27.13989599,MMC (lambda),1.01
287,37.36460799,MMC (lambda),1.01
288,42.40424814,MMC (lambda),0.98
289,39.06461359,MMC (lambda),0.98
290,42.50801194,MMC (lambda),0.98
291,42.67775146,MMC (lambda),0.98
292,46.79431549,LMP,0.98
293,43.38234757,MMC (lambda),0.98
294,37.36460799,MMC (lambda),0.98
295,33.7819801,MMC (lambda),0.98
296,91.11264968,MMC (lambda),0.98
297,38.02333959,Alternative ReEDS region LMP,0.98
298,38.42959903,MMC (lambda),0.98
299,38.42959903,Alternative ReEDS region LMP,0.98
300,51.81354807,LMP,0.98
301,54.08183005,LMP,0.98
302,53.4870058,LMP,0.98
303,53.86604485,LMP,0.98
304,50.86995877,LMP,0.98
305,52.98679276,LMP,0.98
306,49.91446441,LMP,0.98
307,51.73063485,LMP,0.98
308,53.34776944,LMP,1.12
309,38.42959903,MMC (lambda),1.03
310,38.42959903,MMC (lambda),1.03
311,38.42959903,MMC (lambda),1.03
312,36.55328222,MMC (lambda),1.03
313,38.42959903,MMC (lambda),1.03
314,95.54208366,LMP,0.98
315,60.33777795,LMP,1.12
316,59.00865639,LMP,1.12
317,56.01169139,LMP,1.12
318,59.17903711,LMP,1.22
319,51.76203867,LMP,1.22
320,53.03363874,LMP,1.12
321,45.45704728,LMP,1.12
322,51.13279822,LMP,1.12
323,51.5864007,LMP,1.12
324,51.42556159,LMP,1.12
325,51.25746874,LMP,1.12
326,50.91510464,LMP,1.12
327,51.33790316,LMP,1.12
328,53.27094665,LMP,1.22
329,55.43483287,LMP,1.22
330,52.16414562,LMP,1.22
331,51.19530316,LMP,1.22
332,53.31311729,LMP,1.22
333,46.51362892,LMP,1.24
334,50.65327654,LMP,1.24
335,45.29364097,LMP,1.24
336,37.25741164,MMC (lambda),1.24
337,49.78620968,LMP,1.24
338,44.5467669,LMP,1.24
339,60.01030199,LMP,1.24
340,61.17875519,LMP,1.24
341,60.13908831,LMP,1.24
342,61.65891928,LMP,1.24
343,57.91413133,MMC (lambda),1.36
344,64.14881613,LMP,1.36
345,64.83937459,LMP,1.36
346,57.91413133,MMC (lambda),1.36
347,64.54977062,LMP,1.36
348,64.71160478,LMP,1.36
349,57.91413133,MMC (lambda),1.36
350,59.5737708,MMC (lambda),1.36
351,63.80695537,LMP,1.36
352,57.91413133,MMC (lambda),1.36
353,52.01474331,LMP,1.36
354,57.91413133,MMC (lambda),1.36
355,61.84839512,LMP,1.36
356,57.91413133,MMC (lambda),1.36
