,ReEDS region,Marginal Generation Price (in 2014$/MWh),Source_Marginal Generation Price ,Escalation factor (EIA Reference case),Marginal Generation Price (in 2014$/MWh)_esc
274,275,37.83416092,MMC (lambda),0.98,37.0774777016
275,276,27.13989599,MMC (lambda),1.01,27.4112949499
276,277,27.13989599,MMC (lambda),1.01,27.4112949499
277,278,27.13989599,MMC (lambda),1.01,27.4112949499
278,279,36.72367138,MMC (lambda),1.01,37.0909080938
279,280,27.13989599,MMC (lambda),1.01,27.4112949499
280,281,27.13989599,MMC (lambda),1.01,27.4112949499
281,282,27.13989599,MMC (lambda),1.01,27.4112949499
282,283,27.13989599,MMC (lambda),1.01,27.4112949499
283,284,27.13989599,MMC (lambda),1.01,27.4112949499
284,285,40.26062406,LMP,1.01,40.6632303006
285,286,27.13989599,MMC (lambda),1.01,27.4112949499
286,287,37.36460799,MMC (lambda),1.01,37.7382540699
287,288,42.40424814,MMC (lambda),0.98,41.5561631772
288,289,39.06461359,MMC (lambda),0.98,38.2833213182
289,290,42.50801194,MMC (lambda),0.98,41.6578517012
290,291,42.67775146,MMC (lambda),0.98,41.8241964308
291,292,46.79431549,LMP,0.98,45.8584291802
292,293,43.38234757,MMC (lambda),0.98,42.5147006186
293,294,37.36460799,MMC (lambda),0.98,36.6173158302
294,295,33.7819801,MMC (lambda),0.98,33.106340498
295,296,91.11264968,MMC (lambda),0.98,89.2903966864
296,297,38.02333959,Alternative ReEDS region LMP,0.98,37.2628727982
297,298,38.42959903,MMC (lambda),0.98,37.6610070494
298,299,38.42959903,Alternative ReEDS region LMP,0.98,37.6610070494
299,300,51.81354807,LMP,0.98,50.7772771086
300,301,54.08183005,LMP,0.98,53.000193449
301,302,53.4870058,LMP,0.98,52.417265684
302,303,53.86604485,LMP,0.98,52.788723953
303,304,50.86995877,LMP,0.98,49.8525595946
304,305,52.98679276,LMP,0.98,51.9270569048
305,306,49.91446441,LMP,0.98,48.9161751218
306,307,51.73063485,LMP,0.98,50.696022153
307,308,53.34776944,LMP,1.12,59.7495017728
308,309,38.42959903,MMC (lambda),1.03,39.5824870009
309,310,38.42959903,MMC (lambda),1.03,39.5824870009
310,311,38.42959903,MMC (lambda),1.03,39.5824870009
311,312,36.55328222,MMC (lambda),1.03,37.6498806866
312,313,38.42959903,MMC (lambda),1.03,39.5824870009
313,314,95.54208366,LMP,0.98,93.6312419868
314,315,60.33777795,LMP,1.12,67.578311304
315,316,59.00865639,LMP,1.12,66.0896951568
316,317,56.01169139,LMP,1.12,62.7330943568
317,318,59.17903711,LMP,1.22,72.1984252742
318,319,51.76203867,LMP,1.22,63.1496871774
319,320,53.03363874,LMP,1.12,59.3976753888
320,321,45.45704728,LMP,1.12,50.9118929536
321,322,51.13279822,LMP,1.12,57.2687340064
322,323,51.5864007,LMP,1.12,57.776768784
323,324,51.42556159,LMP,1.12,57.5966289808
324,325,51.25746874,LMP,1.12,57.4083649888
325,326,50.91510464,LMP,1.12,57.0249171968
326,327,51.33790316,LMP,1.12,57.4984515392
327,328,53.27094665,LMP,1.22,64.990554913
328,329,55.43483287,LMP,1.22,67.6304961014
329,330,52.16414562,LMP,1.22,63.6402576564
330,331,51.19530316,LMP,1.22,62.4582698552
331,332,53.31311729,LMP,1.22,65.0420030938
332,333,46.51362892,LMP,1.24,57.6768998608
333,334,50.65327654,LMP,1.24,62.8100629096
334,335,45.29364097,LMP,1.24,56.1641148028
335,336,37.25741164,MMC (lambda),1.24,46.1991904336
336,337,49.78620968,LMP,1.24,61.7349000032
337,338,44.5467669,LMP,1.24,55.237990956
338,339,60.01030199,LMP,1.24,74.4127744676
339,340,61.17875519,LMP,1.24,75.8616564356
340,341,60.13908831,LMP,1.24,74.5724695044
341,342,61.65891928,LMP,1.24,76.4570599072
342,343,57.91413133,MMC (lambda),1.36,78.7632186088
343,344,64.14881613,LMP,1.36,87.2423899368
344,345,64.83937459,LMP,1.36,88.1815494424
345,346,57.91413133,MMC (lambda),1.36,78.7632186088
346,347,64.54977062,LMP,1.36,87.7876880432
347,348,64.71160478,LMP,1.36,88.0077825008
348,349,57.91413133,MMC (lambda),1.36,78.7632186088
349,350,59.5737708,MMC (lambda),1.36,81.020328288
350,351,63.80695537,LMP,1.36,86.7774593032
351,352,57.91413133,MMC (lambda),1.36,78.7632186088
352,353,52.01474331,LMP,1.36,70.7400509016
353,354,57.91413133,MMC (lambda),1.36,78.7632186088
354,355,61.84839512,LMP,1.36,84.1138173632
355,356,57.91413133,MMC (lambda),1.36,78.7632186088
